filename_audio;phrase_darija;transcription_fr;intent;speaker
open_door\iman_open_door_04_003_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_04_003_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_05_004_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_06_005_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_07_006_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_08_007_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_09_008_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_original.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_noise.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_fast.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_slow.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_pitch_up.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_pitch_down.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_10_009_quiet.wav;7ell l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_original.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_noise.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_fast.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_slow.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_pitch_up.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_pitch_down.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_11_010_quiet.wav;fteh l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_original.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_noise.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_fast.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_slow.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_pitch_up.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_pitch_down.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
open_door\iman_open_door_12_011_quiet.wav;7ell liya l-bab;Ouvre la porte;open_door;Iman
turn_on_light\iman_light_on_01_012_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_01_012_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_02_013_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_03_014_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_04_015_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_05_016_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_06_017_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_07_018_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_08_019_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_09_020_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_original.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_noise.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_fast.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_slow.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_pitch_up.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_pitch_down.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_10_021_quiet.wav;sha3al dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_original.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_noise.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_fast.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_slow.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_pitch_up.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_pitch_down.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_11_022_quiet.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_original.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_noise.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_fast.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_slow.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_pitch_up.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_pitch_down.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_on_light\iman_light_on_12_023_quiet.wav;sha3al liya dou;Allume la lumiere;turn_on_light;Iman
turn_off_light\iman_light_off_01_024_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_01_024_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_02_025_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_03_026_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_04_027_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_05_028_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_06_029_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_07_030_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_08_031_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_09_032_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_10_033_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_11_034_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_original.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_noise.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_fast.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_slow.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_pitch_up.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_pitch_down.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
turn_off_light\iman_light_off_12_035_quiet.wav;tfi dou;Eteins la lumiere;turn_off_light;Iman
